Id,SalePrice
1461,126648.484375
1462,155183.703125
1463,180938.4375
1464,186125.890625
1465,185717.78125
1466,181758.140625
1467,166623.328125
1468,168907.796875
1469,177466.234375
1470,118497.0859375
1471,208029.0625
1472,91458.6953125
1473,100407.703125
1474,151659.578125
1475,130237.953125
1476,392254.8125
1477,254000.359375
1478,295100.875
1479,270033.0
1480,509935.21875
1481,305202.875
1482,201289.71875
1483,174422.484375
1484,172920.171875
1485,175016.4375
1486,195480.671875
1487,312524.53125
1488,242064.296875
1489,204669.28125
1490,212713.515625
1491,189805.828125
1492,91235.6328125
1493,182474.3125
1494,288745.1875
1495,293860.21875
1496,238557.984375
1497,182304.65625
1498,160367.140625
1499,155395.09375
1500,148911.703125
1501,174560.359375
1502,151063.78125
1503,311491.375
1504,236474.453125
1505,221167.25
1506,187503.421875
1507,236665.171875
1508,191350.171875
1509,164281.703125
1510,150478.5625
1511,143617.640625
1512,168082.53125
1513,147545.1875
1514,163550.28125
1515,184795.5
1516,162862.515625
1517,162054.109375
1518,130633.3125
1519,221465.09375
1520,141763.40625
1521,143581.75
1522,165637.875
1523,118341.8671875
1524,125326.4609375
1525,126841.640625
1526,126153.4921875
1527,101857.890625
1528,128810.265625
1529,150394.09375
1530,169623.046875
1531,111771.4921875
1532,103504.7265625
1533,143720.875
1534,119633.453125
1535,149579.390625
1536,111814.5546875
1537,71513.9140625
1538,166684.96875
1539,194906.0625
1540,109938.609375
1541,142215.109375
1542,138820.046875
1543,214477.6875
1544,79878.609375
1545,104458.6328125
1546,126953.75
1547,124724.734375
1548,126399.90625
1549,116011.890625
1550,131745.90625
1551,109038.1640625
1552,124275.640625
1553,140502.125
1554,114026.8046875
1555,178261.125
1556,83490.640625
1557,102626.6953125
1558,91686.328125
1559,101039.859375
1560,142216.28125
1561,140740.15625
1562,129765.7265625
1563,122397.78125
1564,153284.3125
1565,156280.1875
1566,231259.25
1567,75141.1953125
1568,238619.5625
1569,137738.6875
1570,128821.90625
1571,126272.4765625
1572,147875.375
1573,242473.453125
1574,118159.1171875
1575,217348.5625
1576,213489.3125
1577,203361.96875
1578,151967.578125
1579,142598.015625
1580,187150.484375
1581,141563.0
1582,128215.1640625
1583,349479.46875
1584,240298.78125
1585,141610.34375
1586,69900.703125
1587,96156.2265625
1588,151206.40625
1589,99975.9765625
1590,134946.875
1591,103035.5234375
1592,121413.265625
1593,124948.28125
1594,183091.421875
1595,117869.6171875
